manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class,cty_kml,hwy_kml,tran_am
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact,7.652586726,12.3291675,a
audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact,8.928017847,12.3291675,m
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact,8.50287414,13.17945492,m
audi,a4,2,2008,4,auto(av),f,21,30,p,compact,8.928017847,12.75431121,a
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact,6.802299312,11.05373638,a
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact,7.652586726,11.05373638,m
audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact,7.652586726,11.47888009,a
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact,7.652586726,11.05373638,m
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact,6.802299312,10.62859268,a
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact,8.50287414,11.9040238,m
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact,8.077730433,11.47888009,a
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact,6.377155605,10.62859268,a
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact,7.227443019,10.62859268,m
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact,7.227443019,10.62859268,a
audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compact,6.377155605,10.62859268,m
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize,6.377155605,10.20344897,a
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize,7.227443019,10.62859268,a
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize,6.802299312,9.778305261,a
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,5.952011898,8.50287414,a
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv,4.676580777,6.377155605,a
